node1,node2,bwd,delay,pkloss
1,3,97356.787036,1.028299,0.040535
1,7,92412.912056,1.148105,0.041835
1,16,99150.628686,0.673175,0.0
2,4,93554.920128,2.139688,0.050251
2,7,92029.550775,0.792384,0.041638
2,12,99234.619794,12.027144,0.0
2,13,99729.829532,0.0,0.0
2,18,24987.896944,0.815868,0.0
2,23,24364.36952,8.654356,0.0
3,10,96712.171251,5.007386,0.123457
3,11,24989.547819,4.389286,0.0
3,14,1512.680004,2.49207,0.0
3,21,99469.30565,1.27542,0.285714
4,16,93707.503195,1.312137,0.051858
5,8,24832.107243,0.789404,0.0
5,16,22024.682245,0.677109,0.033058
6,7,1463.242097,2.942562,0.0
6,19,1542.622889,0.390172,0.0
7,17,99608.693077,3.506541,0.0
7,19,24985.708683,1.757503,0.0
7,21,99624.700339,0.687838,0.452489
8,9,22457.974047,1.247287,0.087489
9,15,24979.963185,20.790339,0.0
9,16,93862.827476,0.784039,0.0
10,11,24971.502249,14.190793,0.0
10,12,99048.075962,9.055018,0.0
10,16,96554.94013,0.555634,0.03775
10,17,98839.49995,1.720071,0.103306
12,22,99996.011204,0.0,0.0
13,14,1523.238896,0.0,0.0
13,17,99737.631853,0.0,0.0
13,19,24976.303321,0.0,0.0
15,20,24995.761505,2.222776,0.0
17,20,99929.646659,0.697017,0.0
17,23,24366.626585,12.130618,0.0
18,21,24878.932588,1.238108,0.0
20,22,24937.393357,1.827359,0.0
